기업명,지원 분야,지원 상태,지원일,마감일,다음 단계,우선순위,지원 사이트
넷마블,,불합격,2025년 12월 18일,,,,
후성그룹,,불합격,2025년 11월 14일,2025년 11월 14일,,,https://foosung.careerlink.kr/jobs/apply?coNo=CO202507112703&rcrtNo=RC20251029021475
현대모비스,백엔드 개발자,불합격,2025년 9월 8일,2025년 9월 22일,,,
카카오,백엔드 개발자,불합격,2025년 9월 8일,2025년 9월 28일,,매우 높음,
한화시스템/ICT,백엔드 개발자,불합격,2025년 9월 1일,2025년 9월 28일,,,
오토에버,,서류 접수,,,,,https://recruit-apply.hyundai-autoever.com/cv/console/ae/resume/2466847?locale=ko#nav-typeSns
이지 로보틱스,윈도우 응용 S/W 개발,서류 접수,,2026년 2월 8일,,,
피앤피 시큐어,서버 애플리케이션 개발,불합격,,2026년 1월 18일,,,https://pnpsecure.recruiter.co.kr/career/jobs/94574
마이다스,AX개발,불합격,,2026년 1월 4일,,매우 높음,https://midas.recruiter.co.kr/career/jobs/93544
LG CNS,백엔드 개발자,불합격,,2025년 9월 18일,,매우 높음,https://careers.lg.com/apply/new-apply?id=1000781
한국자금중개,?,불합격,,2025년 10월 1일,,,